Car name,Seller Location,Phone Number,E-car Producer,First Registration,Charge Rate,Price ($),Current Mileage,Max Speed (km/h),Battery (kWh),Engine Capacity (p.h.),Car URL
GAC AION Y 70,"г. Москва, ул.Кировоградская 11 Б",NONE,GAC,2021,500.0,57000,5752,150,64.0,184,https://motorwatt.com/ev-marketplace/electric-cars/ev/russia/gac-aion-y-70
Ora Good Cat LR,"г. Москва, ул.Кировоградская 11 Б",NONE,GWM ORA UK,2021,455.0,50000,5752,150,59.0,150,https://motorwatt.com/ev-marketplace/electric-cars/ev/russia/ora-good-cat-lr
BAIC EU5 Plus,"г. Москва, ул.Кировоградская 11 Б",NONE,BAIC,2021,458.0,48300,5752,155,60.0,150,https://motorwatt.com/ev-marketplace/electric-cars/ev/russia/baic-eu5-plus
BAIC EX3,"г. Москва, ул.Кировоградская 11 Б",NONE,BAIC,2020,470.0,47500,5752,150,63.0,200,https://motorwatt.com/ev-marketplace/electric-cars/ev/russia/baic-ex3
BAIC Beijing EU7,"г. Москва, ул.Кировоградская 11 Б",NONE,BAIC,2020,451.0,48300,5752,155,60.0,200,https://motorwatt.com/ev-marketplace/electric-cars/ev/russia/baic-beijing-eu7
DONGFENG S50 EV,"г. Москва, ул.Кировоградская 11 Б",NONE,DONGFENG,2022,455.0,45850,5752,150,57.0,122,https://motorwatt.com/ev-marketplace/electric-cars/ev/russia/dongfeng-s50-ev
BAIC EX5 – crossover 2021,"Кировоградская улица 11.б, г. Москва, Россия",NONE,BAIC,2021,468.0,45000,5752,187,77.4,218,https://motorwatt.com/ev-marketplace/electric-cars/ev/russia/baic-ex5-2021
BAIC EU-5 R550 2021,"г. Москва, ул. Зацепа 21",NONE,BAIC,2021,570.0,44000,5752,187,77.4,100,https://motorwatt.com/ev-marketplace/electric-cars/ev/russia/baic-eu-5-r550-2021
Audi Q4 e-tron 2021,"г. Москва, ул. Зацепа 21",NONE,Audi,2021,500.0,70168,5752,187,77.4,302,https://motorwatt.com/ev-marketplace/electric-cars/ev/russia/audi-q4-e-tron-2021
Tesla Model S Plaid 2021,"г. Москва, ул. Зацепа 21",NONE,TESLA,2021,628.0,180000,5752,187,77.4,100,https://motorwatt.com/ev-marketplace/electric-cars/ev/russia/tesla-model-s-plaid-2021
Volkswagen Golf VII e-Golf new,Unknown,NONE,VOLKSWAGEN,2018,192.0,66500,5752,187,77.4,115,https://motorwatt.com/ev-marketplace/electric-cars/ev/russia/volkswagen-golf-vii-e-golf-novyj
Audi E-tron S Sportback,"г. Москва, ул. Зацепа 21",NONE,Audi,2021,364.0,105000,5752,187,77.4,100,https://motorwatt.com/ev-marketplace/electric-cars/ev/russia/audi-e-tron-s-sportback
Nissan Leaf II SV 2018 (red),Unknown,NONE,NISSAN,2018,270.0,30800,5752,144,77.4,170,https://motorwatt.com/ev-marketplace/electric-cars/ev/nissan-leaf-ii-sv-2018-red
Nissan Leaf II SV 2018,Unknown,NONE,NISSAN,2018,270.0,32000,5752,144,77.4,170,https://motorwatt.com/ev-marketplace/electric-cars/ev/nissan-leaf-ii-sv-2018
BMW i3 2018,"г. Москва, ул. Зацепа 21",NONE,BMW,2018,250.0,44000,5752,150,77.4,184,https://motorwatt.com/ev-marketplace/electric-cars/ev/elektromobil-bmw-i3-v-nalichii
BMW iX3 2020,"Москва, улица Зацепа, 21",NONE,BMW,2020,460.0,71000,5752,200,77.4,282,https://motorwatt.com/ev-marketplace/electric-cars/ev/bmw-ix3-2020
Tesla Model X Plaid,"г. Москва, ул. Зацепа 21",NONE,TESLA,2021,547.0,180000,5752,187,77.4,100,https://motorwatt.com/ev-marketplace/electric-cars/ev/tesla-model-x-plaid
"BMW i3, 2018 (blue)",Unknown,NONE,BMW,2018,250.0,40000,5752,150,77.4,100,https://motorwatt.com/ev-marketplace/electric-cars/ev/bmw-i3-2018
TESLA MODEL Y LONG RANGE,"м. Краснопресненская, Большой Предтеченский пер., д. 6",NONE,TESLA,2021,483.0,100000,5752,209,77.4,271,https://motorwatt.com/ev-marketplace/electric-cars/ev/tesla-model-y-long-range-2021
Mercedes Benz EQC 400,Dallas,NONE,MERCEDES,2020,400.0,110000,5752,180,77.4,408,https://motorwatt.com/ev-marketplace/electric-cars/ev/mercedes-benz-eqc-400-231
